
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
    1124   3   1   4   0  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1123   3   1   3   0  14     0     0       2.000000 1.000000 0.000000 0.000000 0.000000
    1122   3   1   2   0  14     0     0       4.039395 0.665798 0.334202 0.000000 0.000000
    1121   3   1   1   0  14     0     0      18.748342 0.217411 0.782589 0.000000 0.000000
    1120   3   1   0   0  14     0     0       9.003913 0.402221 0.597779 0.000000 0.000000
    1116   1   1   6   7  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1115   1   1   5   7  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1114   1   1   4   7  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1113   1   1   3   7  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1112   1   1   2   7  13     0     0       7.365728 0.798380 0.201620 0.000000 0.000000
    1111   1   1   1   7  13     0     0      29.620378 0.666667 0.333333 0.000000 0.000000
    1110   1   1   0   7  13     0     0      26.313838 0.000000 1.000000 0.000000 0.000000
    1107   1   1   7   6  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1106   1   1   6   6  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1105   1   1   5   6  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1104   1   1   4   6  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1103   1   1   3   6  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1102   1   1   2   6  13     0     0       7.365728 0.798380 0.201620 0.000000 0.000000
    1101   1   1   1   6  13     0     0      29.620378 0.666667 0.333333 0.000000 0.000000
    1100   1   1   0   6  13     0     0      26.313838 0.000000 1.000000 0.000000 0.000000
    1098   1   1   8   5  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1097   1   1   7   5  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1096   1   1   6   5  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1095   1   1   5   5  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1094   1   1   4   5  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1093   1   1   3   5  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1092   1   1   2   5  13     0     0       7.365728 0.798380 0.201620 0.000000 0.000000
    1091   1   1   1   5  13     0     0      29.620378 0.666667 0.333333 0.000000 0.000000
    1090   1   1   0   5  13     0     0      26.313838 0.000000 1.000000 0.000000 0.000000
    1089   1   1   9   4  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1088   1   1   8   4  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1087   1   1   7   4  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1086   1   1   6   4  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1085   1   1   5   4  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1084   1   1   4   4  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1083   1   1   3   4  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1082   1   1   2   4  13     0     0       7.365728 0.798380 0.201620 0.000000 0.000000
    1081   1   1   1   4  13     0     0      29.620378 0.666667 0.333333 0.000000 0.000000
    1080   1   1   0   4  13     0     0      26.313838 0.000000 1.000000 0.000000 0.000000
    1079   1   1   9   3  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1078   1   1   8   3  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1077   1   1   7   3  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1076   1   1   6   3  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1075   1   1   5   3  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1074   1   1   4   3  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1073   1   1   3   3  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1072   1   1   2   3  13     0     0       7.365728 0.798380 0.201620 0.000000 0.000000
    1071   1   1   1   3  13     0     0      29.620378 0.666667 0.333333 0.000000 0.000000
    1070   1   1   0   3  13     0     0      26.313838 0.000000 1.000000 0.000000 0.000000
    1069   1   1   9   2  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1068   1   1   8   2  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1067   1   1   7   2  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1066   1   1   6   2  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1065   1   1   5   2  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1064   1   1   4   2  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1063   1   1   3   2  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1062   1   1   2   2  13     0     0       7.365728 0.798380 0.201620 0.000000 0.000000
    1061   1   1   1   2  13     0     0      29.620378 0.666667 0.333333 0.000000 0.000000
    1060   1   1   0   2  13     0     0      26.313838 0.000000 1.000000 0.000000 0.000000
    1059   1   1   9   1  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1058   1   1   8   1  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1057   1   1   7   1  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1056   1   1   6   1  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1055   1   1   5   1  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1054   1   1   4   1  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1053   1   1   3   1  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1052   1   1   2   1  13     0     0       7.365728 0.798380 0.201620 0.000000 0.000000
    1051   1   1   1   1  13     0     0      29.620378 0.666667 0.333333 0.000000 0.000000
    1050   1   1   0   1  13     0     0      26.313838 0.000000 1.000000 0.000000 0.000000
    1049   1   1   9   0  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1048   1   1   8   0  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1047   1   1   7   0  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1046   1   1   6   0  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1045   1   1   5   0  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1044   1   1   4   0  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1043   1   1   3   0  13     0     0       3.900000 1.000000 0.000000 0.000000 0.000000
    1042   1   1   2   0  13     0     0       7.365728 0.798380 0.201620 0.000000 0.000000
    1041   1   1   1   0  13     0     0      29.620378 0.666667 0.333333 0.000000 0.000000
    1040   1   1   0   0  13     0     0      26.313838 0.000000 1.000000 0.000000 0.000000
    1035   1   1   5   7  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1034   1   1   4   7  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
    1033   1   1   3   7  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
