
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
   12792   3   1  32   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12791   3   1  31   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12790   3   1  30   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12789   3   1  29   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12788   3   1  28   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12787   3   1  27   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12786   3   1  26   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12785   3   1  25   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12784   3   1  24   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12783   3   1  23   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12782   3   1  22   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12781   3   1  21   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12780   3   1  20   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12779   3   1  19   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12778   3   1  18   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12777   3   1  17   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12776   3   1  16   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12775   3   1  15   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12774   3   1  14   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12773   3   1  13   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12772   3   1  12   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12771   3   1  11   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12770   3   1  10   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12769   3   1   9   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12768   3   1   8   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12767   3   1   7   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12766   3   1   6   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12765   3   1   5   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12764   3   1   4   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12763   3   1   3   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12762   3   1   2   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12761   3   1   1   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12760   3   1   0   7  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12753   3   1  33   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12752   3   1  32   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12751   3   1  31   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12750   3   1  30   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12749   3   1  29   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12748   3   1  28   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12747   3   1  27   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12746   3   1  26   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12745   3   1  25   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12744   3   1  24   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12743   3   1  23   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12742   3   1  22   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12741   3   1  21   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12740   3   1  20   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12739   3   1  19   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12738   3   1  18   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12737   3   1  17   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12736   3   1  16   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12735   3   1  15   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12734   3   1  14   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12733   3   1  13   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12732   3   1  12   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12731   3   1  11   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12730   3   1  10   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12729   3   1   9   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12728   3   1   8   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12727   3   1   7   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12726   3   1   6   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12725   3   1   5   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12724   3   1   4   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12723   3   1   3   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12722   3   1   2   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12721   3   1   1   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12720   3   1   0   6  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12714   3   1  34   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12713   3   1  33   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12712   3   1  32   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12711   3   1  31   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12710   3   1  30   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12709   3   1  29   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12708   3   1  28   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12707   3   1  27   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12706   3   1  26   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12705   3   1  25   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12704   3   1  24   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12703   3   1  23   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12702   3   1  22   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12701   3   1  21   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12700   3   1  20   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12699   3   1  19   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12698   3   1  18   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12697   3   1  17   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12696   3   1  16   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12695   3   1  15   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12694   3   1  14   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12693   3   1  13   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12692   3   1  12   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12691   3   1  11   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12690   3   1  10   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12689   3   1   9   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12688   3   1   8   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12687   3   1   7   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12686   3   1   6   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12685   3   1   5   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12684   3   1   4   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12683   3   1   3   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12682   3   1   2   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12681   3   1   1   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12680   3   1   0   5  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12675   3   1  35   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12674   3   1  34   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12673   3   1  33   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12672   3   1  32   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12671   3   1  31   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12670   3   1  30   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12669   3   1  29   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12668   3   1  28   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12667   3   1  27   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12666   3   1  26   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12665   3   1  25   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12664   3   1  24   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12663   3   1  23   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12662   3   1  22   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12661   3   1  21   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
   12660   3   1  20   4  39     0     0      42.586210 0.000000 0.500000 0.500000 0.000000
