
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
   12709   3   1  29   5  39     0     0       1.324440 0.722963 0.277004 0.000033 0.000000
   12708   3   1  28   5  39     0     0       1.342956 0.709903 0.290065 0.000032 0.000000
   12707   3   1  27   5  39     0     0       1.393297 0.676654 0.323315 0.000031 0.000000
   12706   3   1  26   5  39     0     0       1.543189 0.596065 0.403908 0.000027 0.000000
   12705   3   1  25   5  39     0     0       2.015224 0.445923 0.554057 0.000020 0.000000
   12704   3   1  24   5  39     0     0       3.325279 0.259701 0.740287 0.000012 0.000000
   12703   3   1  23   5  39     0     0       6.377452 0.108380 0.891615 0.000005 0.000000
   12702   3   1  22   5  39     0     0      12.609011 0.030171 0.969827 0.000001 0.000000
   12701   3   1  21   5  39     0     0      24.335009 0.003860 0.996140 0.000000 0.000000
   12700   3   1  20   5  39     0     0      45.229816 0.000116 0.999884 0.000000 0.000000
   12699   3   1  19   5  39     0     0      80.781982 0.000000 1.000000 0.000000 0.000000
   12698   3   1  18   5  39     0     0     138.622435 0.000000 1.000000 0.000000 0.000000
   12697   3   1  17   5  39     0     0     221.039095 0.000000 1.000000 0.000000 0.000000
   12696   3   1  16   5  39     0     0     314.172898 0.000000 1.000000 0.000000 0.000000
   12695   3   1  15   5  39     0     0     406.287395 0.000000 1.000000 0.000000 0.000000
   12694   3   1  14   5  39     0     0     489.135357 0.000000 1.000000 0.000000 0.000000
   12693   3   1  13   5  39     0     0     545.280880 0.000000 1.000000 0.000000 0.000000
   12692   3   1  12   5  39     0     0     581.278812 0.000000 1.000000 0.000000 0.000000
   12691   3   1  11   5  39     0     0     605.587809 0.000000 1.000000 0.000000 0.000000
   12690   3   1  10   5  39     0     0     619.579194 0.000000 1.000000 0.000000 0.000000
   12689   3   1   9   5  39     0     0     627.724516 0.000000 1.000000 0.000000 0.000000
   12688   3   1   8   5  39     0     0     632.558000 0.000000 1.000000 0.000000 0.000000
   12687   3   1   7   5  39     0     0     636.449113 0.000000 1.000000 0.000000 0.000000
   12686   3   1   6   5  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12685   3   1   5   5  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12684   3   1   4   5  39     0     0     638.100000 0.000000 1.000000 0.000000 0.000000
   12683   3   1   3   5  39     0     0     636.449113 0.000000 1.000000 0.000000 0.000000
   12682   3   1   2   5  39     0     0     632.558000 0.000000 1.000000 0.000000 0.000000
   12681   3   1   1   5  39     0     0     627.724516 0.000000 1.000000 0.000000 0.000000
   12680   3   1   0   5  39     0     0     619.579194 0.000000 1.000000 0.000000 0.000000
   12675   3   1  35   4  39     0     0       1.313300 0.731030 0.268937 0.000033 0.000000
   12674   3   1  34   4  39     0     0       1.313313 0.731021 0.268946 0.000033 0.000000
   12673   3   1  33   4  39     0     0       1.313351 0.730993 0.268974 0.000033 0.000000
   12672   3   1  32   4  39     0     0       1.313465 0.730910 0.269057 0.000033 0.000000
   12671   3   1  31   4  39     0     0       1.313785 0.730676 0.269291 0.000033 0.000000
   12670   3   1  30   4  39     0     0       1.314657 0.730039 0.269927 0.000033 0.000000
   12669   3   1  29   4  39     0     0       1.316944 0.728375 0.271592 0.000033 0.000000
   12668   3   1  28   4  39     0     0       1.322758 0.724172 0.275795 0.000033 0.000000
   12667   3   1  27   4  39     0     0       1.337300 0.713846 0.286122 0.000032 0.000000
   12666   3   1  26   4  39     0     0       1.374188 0.688883 0.311086 0.000031 0.000000
   12665   3   1  25   4  39     0     0       1.473871 0.630176 0.369795 0.000029 0.000000
   12664   3   1  24   4  39     0     0       1.764300 0.512780 0.487197 0.000023 0.000000
   12663   3   1  23   4  39     0     0       2.560863 0.347307 0.652677 0.000016 0.000000
   12662   3   1  22   4  39     0     0       4.419985 0.182546 0.817446 0.000008 0.000000
   12661   3   1  21   4  39     0     0       8.184275 0.071994 0.928002 0.000003 0.000000
   12660   3   1  20   4  39     0     0      15.076483 0.019281 0.980718 0.000001 0.000000
   12659   3   1  19   4  39     0     0      26.892519 0.002496 0.997504 0.000000 0.000000
   12658   3   1  18   4  39     0     0      46.143500 0.000100 0.999900 0.000000 0.000000
   12657   3   1  17   4  39     0     0      76.077606 0.000001 0.999999 0.000000 0.000000
   12656   3   1  16   4  39     0     0     120.512556 0.000000 1.000000 0.000000 0.000000
   12655   3   1  15   4  39     0     0     183.415477 0.000000 1.000000 0.000000 0.000000
   12654   3   1  14   4  39     0     0     252.010629 0.000000 1.000000 0.000000 0.000000
   12653   3   1  13   4  39     0     0     323.389159 0.000000 1.000000 0.000000 0.000000
   12652   3   1  12   4  39     0     0     388.133058 0.000000 1.000000 0.000000 0.000000
   12651   3   1  11   4  39     0     0     445.860936 0.000000 1.000000 0.000000 0.000000
   12650   3   1  10   4  39     0     0     493.000992 0.000000 1.000000 0.000000 0.000000
   12649   3   1   9   4  39     0     0     524.364863 0.000000 1.000000 0.000000 0.000000
   12648   3   1   8   4  39     0     0     545.280880 0.000000 1.000000 0.000000 0.000000
   12647   3   1   7   4  39     0     0     557.888863 0.000000 1.000000 0.000000 0.000000
   12646   3   1   6   4  39     0     0     566.081516 0.000000 1.000000 0.000000 0.000000
   12645   3   1   5   4  39     0     0     568.462509 0.000000 1.000000 0.000000 0.000000
   12644   3   1   4   4  39     0     0     566.081516 0.000000 1.000000 0.000000 0.000000
   12643   3   1   3   4  39     0     0     557.888863 0.000000 1.000000 0.000000 0.000000
   12642   3   1   2   4  39     0     0     545.280880 0.000000 1.000000 0.000000 0.000000
   12641   3   1   1   4  39     0     0     524.364863 0.000000 1.000000 0.000000 0.000000
   12640   3   1   0   4  39     0     0     493.000992 0.000000 1.000000 0.000000 0.000000
   12636   3   1  36   3  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12635   3   1  35   3  39     0     0       1.313297 0.731033 0.268934 0.000033 0.000000
   12634   3   1  34   3  39     0     0       1.313301 0.731030 0.268937 0.000033 0.000000
   12633   3   1  33   3  39     0     0       1.313314 0.731021 0.268946 0.000033 0.000000
   12632   3   1  32   3  39     0     0       1.313351 0.730993 0.268974 0.000033 0.000000
   12631   3   1  31   3  39     0     0       1.313458 0.730915 0.269052 0.000033 0.000000
   12630   3   1  30   3  39     0     0       1.313747 0.730704 0.269263 0.000033 0.000000
   12629   3   1  29   3  39     0     0       1.314503 0.730152 0.269815 0.000033 0.000000
   12628   3   1  28   3  39     0     0       1.316401 0.728770 0.271197 0.000033 0.000000
   12627   3   1  27   3  39     0     0       1.321013 0.725429 0.274538 0.000033 0.000000
   12626   3   1  26   3  39     0     0       1.331969 0.717600 0.282368 0.000033 0.000000
   12625   3   1  25   3  39     0     0       1.357961 0.699644 0.300324 0.000032 0.000000
   12624   3   1  24   3  39     0     0       1.421838 0.659272 0.340698 0.000030 0.000000
   12623   3   1  23   3  39     0     0       1.589898 0.575632 0.424341 0.000026 0.000000
   12622   3   1  22   3  39     0     0       2.034899 0.441460 0.558520 0.000020 0.000000
   12621   3   1  21   3  39     0     0       3.078217 0.283816 0.716172 0.000013 0.000000
   12620   3   1  20   3  39     0     0       5.195622 0.146528 0.853465 0.000007 0.000000
   12619   3   1  19   3  39     0     0       9.021377 0.060417 0.939580 0.000003 0.000000
   12618   3   1  18   3  39     0     0      15.379476 0.018266 0.981733 0.000001 0.000000
   12617   3   1  17   3  39     0     0      25.327354 0.003258 0.996742 0.000000 0.000000
   12616   3   1  16   3  39     0     0      40.115417 0.000271 0.999729 0.000000 0.000000
   12615   3   1  15   3  39     0     0      61.053717 0.000009 0.999991 0.000000 0.000000
   12614   3   1  14   3  39     0     0      89.277897 0.000000 1.000000 0.000000 0.000000
   12613   3   1  13   3  39     0     0     125.430766 0.000000 1.000000 0.000000 0.000000
   12612   3   1  12   3  39     0     0     169.313825 0.000000 1.000000 0.000000 0.000000
   12611   3   1  11   3  39     0     0     214.040045 0.000000 1.000000 0.000000 0.000000
   12610   3   1  10   3  39     0     0     256.242216 0.000000 1.000000 0.000000 0.000000
   12609   3   1   9   3  39     0     0     292.371827 0.000000 1.000000 0.000000 0.000000
   12608   3   1   8   3  39     0     0     323.389159 0.000000 1.000000 0.000000 0.000000
   12607   3   1   7   3  39     0     0     343.978381 0.000000 1.000000 0.000000 0.000000
   12606   3   1   6   3  39     0     0     357.357236 0.000000 1.000000 0.000000 0.000000
   12605   3   1   5   3  39     0     0     361.998237 0.000000 1.000000 0.000000 0.000000
   12604   3   1   4   3  39     0     0     357.357236 0.000000 1.000000 0.000000 0.000000
   12603   3   1   3   3  39     0     0     343.978381 0.000000 1.000000 0.000000 0.000000
   12602   3   1   2   3  39     0     0     323.389159 0.000000 1.000000 0.000000 0.000000
   12601   3   1   1   3  39     0     0     292.371827 0.000000 1.000000 0.000000 0.000000
   12600   3   1   0   3  39     0     0     256.242216 0.000000 1.000000 0.000000 0.000000
   12597   3   1  37   2  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12596   3   1  36   2  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12595   3   1  35   2  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12594   3   1  34   2  39     0     0       1.313297 0.731033 0.268934 0.000033 0.000000
   12593   3   1  33   2  39     0     0       1.313301 0.731030 0.268937 0.000033 0.000000
   12592   3   1  32   2  39     0     0       1.313314 0.731021 0.268946 0.000033 0.000000
   12591   3   1  31   2  39     0     0       1.313349 0.730995 0.268972 0.000033 0.000000
   12590   3   1  30   2  39     0     0       1.313445 0.730924 0.269043 0.000033 0.000000
   12589   3   1  29   2  39     0     0       1.313696 0.730741 0.269226 0.000033 0.000000
   12588   3   1  28   2  39     0     0       1.314324 0.730283 0.269684 0.000033 0.000000
   12587   3   1  27   2  39     0     0       1.315834 0.729182 0.270785 0.000033 0.000000
   12586   3   1  26   2  39     0     0       1.319343 0.726635 0.273332 0.000033 0.000000
   12585   3   1  25   2  39     0     0       1.327268 0.720940 0.279027 0.000033 0.000000
   12584   3   1  24   2  39     0     0       1.344914 0.708548 0.291420 0.000032 0.000000
   12583   3   1  23   2  39     0     0       1.384631 0.682140 0.317829 0.000031 0.000000
   12582   3   1  22   2  39     0     0       1.477956 0.628025 0.371946 0.000029 0.000000
   12581   3   1  21   2  39     0     0       1.706443 0.531668 0.468308 0.000024 0.000000
   12580   3   1  20   2  39     0     0       2.237933 0.400088 0.599894 0.000018 0.000000
   12579   3   1  19   2  39     0     0       3.325279 0.259701 0.740287 0.000012 0.000000
   12578   3   1  18   2  39     0     0       5.291750 0.142784 0.857209 0.000006 0.000000
   12577   3   1  17   2  39     0     0       8.508704 0.067208 0.932789 0.000003 0.000000
   12576   3   1  16   2  39     0     0      13.381948 0.026177 0.973821 0.000001 0.000000
   12575   3   1  15   2  39     0     0      20.330992 0.007678 0.992322 0.000000 0.000000
   12574   3   1  14   2  39     0     0      29.719592 0.001546 0.998454 0.000000 0.000000
   12573   3   1  13   2  39     0     0      41.752482 0.000207 0.999793 0.000000 0.000000
   12572   3   1  12   2  39     0     0      56.359695 0.000019 0.999981 0.000000 0.000000
   12571   3   1  11   2  39     0     0      73.094561 0.000001 0.999999 0.000000 0.000000
   12570   3   1  10   2  39     0     0      91.081430 0.000000 1.000000 0.000000 0.000000
   12569   3   1   9   2  39     0     0     109.044270 0.000000 1.000000 0.000000 0.000000
   12568   3   1   8   2  39     0     0     125.430766 0.000000 1.000000 0.000000 0.000000
   12567   3   1   7   2  39     0     0     138.622435 0.000000 1.000000 0.000000 0.000000
   12566   3   1   6   2  39     0     0     147.194368 0.000000 1.000000 0.000000 0.000000
   12565   3   1   5   2  39     0     0     150.167891 0.000000 1.000000 0.000000 0.000000
   12564   3   1   4   2  39     0     0     147.194368 0.000000 1.000000 0.000000 0.000000
   12563   3   1   3   2  39     0     0     138.622435 0.000000 1.000000 0.000000 0.000000
   12562   3   1   2   2  39     0     0     125.430766 0.000000 1.000000 0.000000 0.000000
   12561   3   1   1   2  39     0     0     109.044270 0.000000 1.000000 0.000000 0.000000
   12560   3   1   0   2  39     0     0      91.081430 0.000000 1.000000 0.000000 0.000000
   12558   3   1  38   1  39     0     0       1.313295 0.731034 0.268932 0.000033 0.000000
   12557   3   1  37   1  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12556   3   1  36   1  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12555   3   1  35   1  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12554   3   1  34   1  39     0     0       1.313296 0.731034 0.268933 0.000033 0.000000
   12553   3   1  33   1  39     0     0       1.313297 0.731033 0.268934 0.000033 0.000000
   12552   3   1  32   1  39     0     0       1.313301 0.731030 0.268937 0.000033 0.000000
   12551   3   1  31   1  39     0     0       1.313313 0.731021 0.268946 0.000033 0.000000
   12550   3   1  30   1  39     0     0       1.313345 0.730998 0.268969 0.000033 0.000000
   12549   3   1  29   1  39     0     0       1.313428 0.730937 0.269030 0.000033 0.000000
   12548   3   1  28   1  39     0     0       1.313637 0.730784 0.269182 0.000033 0.000000
   12547   3   1  27   1  39     0     0       1.314137 0.730419 0.269548 0.000033 0.000000
   12546   3   1  26   1  39     0     0       1.315290 0.729578 0.270389 0.000033 0.000000
   12545   3   1  25   1  39     0     0       1.317851 0.727716 0.272251 0.000033 0.000000
   12544   3   1  24   1  39     0     0       1.323356 0.723742 0.276225 0.000033 0.000000
   12543   3   1  23   1  39     0     0       1.334909 0.715525 0.284442 0.000032 0.000000
   12542   3   1  22   1  39     0     0       1.358949 0.698979 0.300989 0.000032 0.000000
   12541   3   1  21   1  39     0     0       1.409697 0.666539 0.333431 0.000030 0.000000
   12540   3   1  20   1  39     0     0       1.520464 0.606713 0.393260 0.000028 0.000000
   12539   3   1  19   1  39     0     0       1.764300 0.512780 0.487197 0.000023 0.000000
   12538   3   1  18   1  39     0     0       2.263633 0.395373 0.604609 0.000018 0.000000
   12537   3   1  17   1  39     0     0       3.173491 0.274126 0.725862 0.000012 0.000000
   12536   3   1  16   1  39     0     0       4.661423 0.170094 0.829898 0.000008 0.000000
   12535   3   1  15   1  39     0     0       6.881476 0.096190 0.903806 0.000004 0.000000
   12534   3   1  14   1  39     0     0       9.949882 0.050105 0.949893 0.000002 0.000000
   12533   3   1  13   1  39     0     0      13.924046 0.023720 0.976279 0.000001 0.000000
   12532   3   1  12   1  39     0     0      18.771060 0.010063 0.989937 0.000000 0.000000
   12531   3   1  11   1  39     0     0      24.335009 0.003860 0.996140 0.000000 0.000000
   12530   3   1  10   1  39     0     0      30.319784 0.001397 0.998603 0.000000 0.000000
   12529   3   1   9   1  39     0     0      36.298198 0.000512 0.999488 0.000000 0.000000
   12528   3   1   8   1  39     0     0      41.752482 0.000207 0.999793 0.000000 0.000000
   12527   3   1   7   1  39     0     0      46.143500 0.000100 0.999900 0.000000 0.000000
   12526   3   1   6   1  39     0     0      48.996811 0.000062 0.999938 0.000000 0.000000
   12525   3   1   5   1  39     0     0      49.986602 0.000053 0.999947 0.000000 0.000000
   12524   3   1   4   1  39     0     0      48.996811 0.000062 0.999938 0.000000 0.000000
   12523   3   1   3   1  39     0     0      46.143500 0.000100 0.999900 0.000000 0.000000
   12522   3   1   2   1  39     0     0      41.752482 0.000207 0.999793 0.000000 0.000000
   12521   3   1   1   1  39     0     0      36.298198 0.000512 0.999488 0.000000 0.000000
   12520   3   1   0   1  39     0     0      30.319784 0.001397 0.998603 0.000000 0.000000
   12519   3   1  39   0  39     0     0       1.313295 0.731034 0.268932 0.000033 0.000000
   12518   3   1  38   0  39     0     0       1.313295 0.731034 0.268932 0.000033 0.000000
   12517   3   1  37   0  39     0     0       1.313295 0.731034 0.268932 0.000033 0.000000
   12516   3   1  36   0  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12515   3   1  35   0  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12514   3   1  34   0  39     0     0       1.313295 0.731034 0.268933 0.000033 0.000000
   12513   3   1  33   0  39     0     0       1.313296 0.731034 0.268933 0.000033 0.000000
   12512   3   1  32   0  39     0     0       1.313297 0.731033 0.268934 0.000033 0.000000
   12511   3   1  31   0  39     0     0       1.313301 0.731030 0.268937 0.000033 0.000000
   12510   3   1  30   0  39     0     0       1.313312 0.731022 0.268945 0.000033 0.000000
   12509   3   1  29   0  39     0     0       1.313339 0.731002 0.268965 0.000033 0.000000
   12508   3   1  28   0  39     0     0       1.313409 0.730951 0.269016 0.000033 0.000000
   12507   3   1  27   0  39     0     0       1.313575 0.730830 0.269137 0.000033 0.000000
   12506   3   1  26   0  39     0     0       1.313957 0.730551 0.269416 0.000033 0.000000
   12505   3   1  25   0  39     0     0       1.314801 0.729935 0.270032 0.000033 0.000000
   12504   3   1  24   0  39     0     0       1.316594 0.728629 0.271338 0.000033 0.000000
   12503   3   1  23   0  39     0     0       1.320267 0.725968 0.273999 0.000033 0.000000
